,,,,,통장 거래 내역,,,
,,,,,,,,
,,,,,2026.03.03~2026.03.30,,,
,,,,,,,,
(주)플랙스뉴럴랩스,,,,,,,,[098000]신한보통예금-841370[100034841370]
,,,,,,,,
거래일시,적요,내용,입금액,출금액,잔액,취급점,거래처,비고
03-03,tosspaymen,타행PC,"344,900,761",0,"788,375,746",(우리),토스페이먼츠 주식회사,
03-03,(주)플랙스뉴럴,BZ뱅크,0,"50,000,500","738,375,246",태릉역,계좌간이체,
03-03,현대카드,FB이체,0,"1,006,541","737,368,705",FI영2,카드통합(현대카드),
03-03,(주)플랙스뉴럴,BZ뱅크,0,"450,000,500","287,368,205",태릉역,계좌간이체,
03-03,롯데카드(주),FB이체,0,"4,295,690","283,072,515",FI영1,카드통합(롯데카드),
03-03,페이시（주）,FB자동,0,"795,000","282,277,515",고플운,페이시 주식회사,
03-05,DBSL AAS F,타행IB,"41,497,159",0,"323,774,674",(도이),해외앱마켓,
03-05,APPLE INC,타행IB,"25,015,719",0,"348,790,393",(도이),해외앱마켓,
03-05,페이레터(주),타행IB,"82,733,017",0,"431,523,410",(국민),페이레터㈜,
03-06,코스모스주식회사,타행IB,"6,000",0,"431,529,410",(농협),코스모스 주식회사,
03-09,카카오페이정산,FB이체,"121,326,613",0,"552,856,023",판교금,주식회사 카카오페이,
03-09,(주)플랙스뉴럴,BZ뱅크,0,"40,000,500","512,855,523",태릉역,계좌간이체,
03-09,(주)플랙스뉴럴,BZ뱅크,0,"400,000,500","112,855,023",태릉역,계좌간이체,
03-10,2602국민건강,의보,0,"6,213,620","106,641,403",태릉역,건강보험공단,
03-10,2602국민연금,연금,0,"7,428,040","99,213,363",태릉역,국민연금공단,
03-10,2602고용보험,보험료,0,"1,470,820","97,742,543",태릉역,근로복지공단,
03-10,2602산재보험,보험료,0,"679,080","97,063,463",태릉역,근로복지공단,
03-10,tosspaymen,타행PC,"233,660,365",0,"330,723,828",(우리),토스페이먼츠 주식회사,
03-10,(주)플랙스뉴럴,BZ뱅크,0,"330,000,500","723,328",태릉역,계좌간이체,
